Rating, Review
8.0,Rất tốt. Khách sạn tuy hơi xa biển nhưng nếu biết đường sẽ ra khu du lịch biển đông tầm 5p lái xe ^ khách sạn gần bến xe vũng tàu nên nếu bạn nào đi xe khách sẽ rất tiện ^ ks sạch sẽ ^ nhân viên rất nhiệt tình và dễ thương ^ giá vầy khá mềm mà lại thêm 2 phần ăn sang free ^ tính ra oke lắm ^  nếu có dịp sẽ ghé lần nữa 
9.6,Khách sạn đẹp^ sạch^ nhân viên thân thiện. Khách sạn khá xa biển nên nếu muốn đi tắm thì phải đi bộ hơi xa^ hoặc đi xe máy cho nhanh^ thiết kế phòng đẹp^ ốm cúng^ Wifi hơi yếu
10.0,Lựa chọn hợp lý. Phòng sạch sẽ^ nệm êm^ nhân viên thân thiện^ lịch sự. 
9.6,Trên cả tuyệt vời. Khách sạn sạch sẽ và dịch vụ cực kì tốt^ nhân viên dễ thương. Sau này sẽ tiếp tục đặt phòng ở đây vì mình cảm thấy cực kì hài lòng
9.6,Very Good. Phòng ốc sạch sẽ^ tiện nghi đầy đủ^ xứng đáng với giá tiền.. Thái độ nhân viên cực tốt^ thân thiện^ nhiệt tình. từ bảo vệ tới lễ tân và phục vụ phòng bếp.. Tôi rất hài lòng
4.4,So dirty and Service very bad (2 ngày không dọn phòng^ nhân viên làm việc rất mât lịch sự). Bad service^ so noise^ and not clean (not renovation room after day by day). Breakfast only bread and egg. The pictures of room introduction and reality very different. Finaly^ Staff not helpful. Đoàn chúng tôi có dịp ở 02 ngày^ 16 ở 8 phòng đều không hài lòng.. Có phòng khách sạn không dọn phòng sau mỗi ngày (mặc dù không để biển yêu cầu không dọn phòng). Nhân viên khách sạn cứng nhắc^ Tôi đại diện đặt phòng nhưng mỗi khi có phòng checkout sớm tôi phải đích thân có mặt khách sạn mới chịu trả cmnd cho khách^ mặc kệ về SG có trễ chuyến bay hay không.. Ăn sáng chỉ có mỗi trưng ốp la^ phòng mốc^ phía trước khách sạn là bãi đất trống trông rất bẩn.. Từ lúc tôi đặt phòng có cả chục lần khách sạn gọi chỉ hỏi mỗi việc check in lúc mấy giờ. Rồi lại hỏi việc xác nhận số phòng/ loại phòng đặt rất mất thời gian^ nhưng rốt cuộc phòng đặt rồi khi đến thiếu phòng khách sạn đổ thừa tại^ bị^ bởi.... nhân viên khác làm việc họ không biết.. Khác xa so với Ambassador tại Sài Gòn^ rất thất vọng với ks. 
9.2,Nhân viên thân thiện^ dịch vụ tốt.. Hotel gần chợ^ mua sắm tiện. Nhân viên thân thiện^ phòng sạch sẽ. Cà phê sân thượng view đẹp.
2.8,Chấp nhận được. Book cuối tuần giá gần 900k^ nhìn hình cũng tàm tạm^ mà đến nơi thì nhắn hơi shock vì đây chỉ là 1 nhà nghỉ nhỏ^ nghỉ theo giờ^ còn có cái bảng phía trước ghi nghỉ qua đêm là 250k nữa . Phòng không có nước nóng. Khăn cũ nên ko dám xài. Cục nóng máy lạnh bắt ngay trước phòng kêu rất ồn^ phòng ko cách âm tốt nên cả đêm phải nghe tiếng cục nóng máy lạnh kêu ù ù rất đau đầu. Lễ Tân cũng chả niềm nở . Nói chung 1 lần lầm lỡ và mãi mãi 
8.4,..
10.0,Tốt. Nhân viên giao tiếp nhã nhặn lịch sự^ phòng tươm tất^ giá bình dân
6.0,Tạm ổn. Phục vụ bình thường^ phòng rộng^ khá sạch sẽ có điều chăn drap hơi bẩn^ phòng tắm có hút mùi^ có nước nóng (mở một lúc lâu mới có). Điều khiển của TV và máy lạnh trong phòng biến mất như bị tối giản^ phải dùng điều khiển hồng ngoại tích hợp trên điện thoại.  Phòng có minibar gồm mì gói và snack lặt vặt với giá gấp 2 gấp 3 (muốn ăn hãy đi 1 tí ra family mart ngay gần giá sẽ mềm hơn).. Một chút trục trặc của mình khi ở khách sạn: Khách sạn dùng thẻ từ^ có lúc ra khỏi phòng đóng cửa thì cửa không khóa^ khóa được rồi thì lúc mua sắm trở về mở lại không nhận thẻ^ phải trở xuống cho các bạn reset.. Cuối cùng^ khách sạn thích hợp cho những bạn đi xe máy.
2.0,Booking nhưng không được nhận phòng. Trên app gửi mail nhưng khi tới nhân viên đổ lỗi cho khách không chuyển khoản trước trong khi trên app không yêu cầu và không cho nhận phòng. 
2.0,Nên dẹp đi trang web agoda. không có thiện cảm cho lần thứ 2 nhìn thấy web này
7.0,Tốt. 
8.8,Tuyệt vời. Giá cả hợp lý^ đầy đủ tiện nghi. Sẽ quay lại trải nghiệm nhiều hơn nếu có dịp
5.0,Tàm tạm. 
10.0,Trên cả tuyệt vời. Khách sạn sạch sẽ tốt. Mình đi nhóm đông nên đặt phòng gia đình^ rất rộng. Có 2 nhà vệ sinh rất tiện lợi. Có sân thượng nữa. Gia đình mình rất thích
10.0,Xuất sắc. 
8.0,Tốt. Tuy xa trung tâm nhưng khá sạch sẽ và nhân viên nhiêt tình
1.0,Cực kỳ tệ. 
10.0,Trên cả tuyệt vời. Phòng rất ổn so với giá cả ạ
1.0,quà thất vọng^ Khách sạn.... 
10.0,Good hotel. Khách sạn vừa giá tiền đáng để thử
1.0,Tệ. 
