text,label
"Ngày 4/3^ tại TP Phú Quốc^ Bộ Ngoại giao tổ chức Hội nghị tổng kết 20 năm công tác phân giới cắm mốc biên giới đất liền Việt Nam - Campuchia (1999-2019).Phát biểu tại hội nghi^ Bộ trưởng Ngoại giao Bùi Thanh Sơn cho biết^ trên cơ sở Hiệp ước hoạch định đường biên giới quốc gia năm 1985^ từ năm 1986-1988^ Việt Nam và Campuchia hoàn thành phân giới^ cắm mốc khoảng 200 km đường biên giới và cắm 72 cột mốc. Tuy nhiên^ đầu năm 1989^ vì một số lý do kỹ thuật cũng như tình hình chính trị nội bộ của Campuchia nên nước bạn đề nghị tạm dừng.Từ năm 1999^ tình hình chính trị ở Campuchia ổn định^ theo thoả thuận của lãnh đạo cấp cao hai nước^ đàm phán biên giới trên đất liền hai nước được nối lại. Ngày 10/10/2005^ hai bên ký hiệp ước bổ sung hiệp ước năm 1985. Sau đó^ Thủ tướng ban hành quyết định phê duyệt kế hoạch tổng thể thực hiện công tác phân giới cắm mốc trên tuyến biên giới đất liền Việt Nam - Campuchia.Đến tháng 9/2019^ qua 20 năm thực hiện công tác phân giới cắm mốc^ hai nước đã xây dựng được 315 cột mốc chính^ 1.511 cột mốc phụ và 221 cọc dấu^ phân giới được hơn 1.044 km trên thực địa^ đạt khoảng 84%^ được thể hiện trên bản đồ địa hình biên giới Việt Nam - Campuchia.Ngay sau đó^ thủ tướng hai nước tiếp tục ký hai văn kiện ghi nhận thành quả công tác phân giới cắm mốc đạt được^ gồm: Hiệp ước bổ sung Hiệp ước hoạch định biên giới Quốc gia năm 1985^ Hiệp ước bổ sung năm 2005 giữa Việt Nam và Campuchia.Ông Nguyễn Minh Vũ^ Thứ trưởng thường trực Ngoại giao^ Chủ nhiệm Uỷ ban Biên giới quốc gia^ cho biết kết quả đạt được rất quan trọng^ mang tính chất lịch sử. Đó là hình thành đường biên giới hết sức rõ ràng giữa Việt Nam - Campuchia^ tạo điều kiện rất thuận lợi cho việc quản lý biên giới^ bảo đảm an ninh trật tự trị an khu vực biên giới hai nước.Theo Thứ trưởng Nguyễn Minh Vũ^ từ kết quả này^ người dân biên giới có điều kiện tăng cường trao đổi^ giao lưu^ thông thương hàng hoá^ góp phần xây dựng^ duy trì đường biên giới hoà bình^ hữu nghị^ hợp tác và phát triển bền vững.Phó thủ tướng Thường trực Phạm Bình Minh khẳng định^ biên giới lãnh thổ^ chủ quyền quốc gia là điều thiêng liêng. Việc hoàn thành 84% phân giới cắm mốc biên giới trên đất liền Việt Nam - Campuchia là dấu mốc quan trọng^ thành quả rất lớn.""Chúng ta đã có chủ trương tiếp tục và thống nhất với lãnh đạo Campuchia là hai bên tiếp tục đàm phán^ thoả thuận sớm hoàn thiện việc phân giới^ cắm mốc 16% đường biên giới còn lại^ theo phương châm dễ trước khó sau""^ Phó thủ tướng nói và đề nghị Bộ Ngoại giao cùng các bộ ngành^ các địa phương liên quan tiếp tục phối hợp chặt chẽ để thực hiện.Đường biên giới trên đất liền Việt Nam và Campuchia có điểm khởi đầu tại ngã ba biên giới Việt Nam - Lào - Campuchia^ điểm kết thúc là cột mốc giới số 314 (biên giới Kiên Giang với Kampot). Đường biên giới này thuộc phạm vi 10 tỉnh của Việt Nam và 9 tỉnh của Campuchia^ có địa hình đa dạng như: rừng núi hiểm trở^ phức tạp^ đi lại khó khăn^ bằng phẳng^ dân cư đông đúc^ đan xen phức tạp của người dân hai nước sinh sống^ canh tác...Cửu Long",Chinhtrixahoi
"Ban soạn thảo do Phó Chủ tịch Quốc hội Nguyễn Khắc Định làm Trưởng Ban; Chủ nhiệm Ủy ban Tư pháp Lê Thị Nga làm Phó Ban thường trực. Hai Phó Ban là ông Lê Thành Long (Bộ trưởng Tư pháp) và Võ Văn Dũng (Phó trưởng Ban thường trực Ban Nội chính Trung ương). 13 Ủy viên là chủ nhiệm^ phó chủ nhiệm^ Ủy viên thường trực các Ủy ban của Quốc hội.Ban soạn thảo có nhiệm vụ xây dựng dự thảo Quy định của Bộ Chính trị về kiểm soát quyền lực^ phòng^ chống lợi ích nhóm^ tham nhũng^ tiêu cực trong xây dựng pháp luật. Ban soạn thảo làm việc theo nguyên tắc tập trung dân chủ^ tập thể thảo luận^ Trưởng Ban soạn thảo kết luận và chỉ đạo thực hiện. Thường trực Ủy ban Tư pháp là cơ quan thường trực của Ban soạn thảo^ có trách nhiệm tham mưu^ tổ chức.Theo kế hoạch^ dự thảo Quy định sẽ hoàn thành trong tháng 9 để trình Đảng đoàn Quốc hội. Ban soạn thảo sẽ tiếp thu ý kiến^ hoàn thiện dự thảo Quy định và báo cáo Ban Chỉ đạo Trung ương về phòng^ chống tham nhũng^ tiêu cực trong tháng 12.Cũng trong ngày 3/3^ Đảng đoàn Quốc hội đã ban hành kế hoạch thực hiện các nhiệm vụ được Ban Chỉ đạo Trung ương về phòng^ chống tham nhũng^ tiêu cực giao năm 2022. Trong 4 nhiệm vụ được đề ra có việc chỉ đạo tham mưu xây dựng và tổ chức thực hiện nghiêm Quy định của Bộ Chính trị về kiểm soát quyền lực^ phòng^ chống ""lợi ích nhóm""^ tham nhũng^ tiêu cực trong công tác xây dựng pháp luật; chỉ đạo rà soát^ khắc phục những sơ hở^ bất cập trong cơ chế^ chính sách^ pháp luật liên quan đấu thầu^ đấu giá^ quản lý^ sử dụng đất đai^ tài sản công^ tài chính^ chứng khoán....Tại hội nghị trực tuyến toàn quốc triển khai kết luận số 19 của Bộ Chính trị và Đề án định hướng chương trình xây dựng pháp luật nhiệm kỳ Quốc hội khóa XV đầu tháng 11/2021^ Chủ tịch Quốc hội Vương Đình Huệ yêu cầu chống tiêu cực ngay trong công tác xây dựng pháp luật^ ""không để xảy ra việc lồng ghép lợi ích nhóm^ lợi ích cục bộ"" của cơ quan quản lý nhà nước trong văn bản luật.",Chinhtrixahoi
"Trong thông cáo phát chiều 4/3^ Ủy ban Kiểm tra Trung ương cho biết^ Ban Thường vụ Tỉnh ủy Bình Thuận nhiệm kỳ 2015 - 2020 còn thiếu trách nhiệm^ buông lỏng lãnh đạo^ chỉ đạo^ thiếu kiểm tra^ giám sát^ để Ban cán sự đảng Uỷ ban nhân dân tỉnh^ Uỷ ban nhân dân tỉnh và nhiều tổ chức^ cá nhân vi phạm các quy định của Đảng^ pháp luật của Nhà nước.Các vi phạm được xác định trong quản lý^ sử dụng đất^ thực hiện một số dự án; một số cán bộ^ đảng viên trong đó có cả lãnh đạo chủ chốt của tỉnh bị khởi tố^ bắt tạm giam.Theo cơ quan kiểm tra^ những vi phạm nêu trên đã ""gây hậu quả rất nghiêm trọng""^ thiệt hại lớn tiền và tài sản của Nhà nước^ gây bức xúc trong xã hội^ ảnh hưởng xấu đến uy tín của cấp ủy^ chính quyền địa phương^ ""đến mức phải xem xét^ xử lý kỷ luật"".Liên quan đến những vi phạm này^ Ủy ban Kiểm tra Trung ương cũng cho biết ""có trách nhiệm của Ban cán sự đảng và một số cán bộ^ lãnh đạo Bộ Xây dựng^ Thanh tra Chính phủ^ Kiểm toán Nhà nước^ cần được xem xét xử lý trách nhiệm"".Trước đó^ ngày 10/2^ ông Nguyễn Ngọc Hai^ nguyên chủ tịch tỉnh Bình Thuận^ cùng 4 người bị bắt với cáo buộc sai phạm tại Dự án Khu thương mại dịch vụ và dân cư Tân Việt Phát 2 (nằm trên đường Võ Nguyên Giáp và Nguyễn Thông^ phường Phú Hài^ TP Phan Thiết).",Chinhtrixahoi
"Trong thông cáo phát chiều 4/3^ Ủy ban Kiểm tra Trung ương cho biết đã quyết định cách tất cả các chức vụ trong Đảng nhiệm kỳ 2015 - 2020 đối với Đại tá Hồ Tú Điền^ nguyên Phó bí thư Đảng ủy^ nguyên Chỉ huy trưởng Bộ đội biên phòng (BĐBP) tỉnh Kiên Giang; cách chức Phó bí thư Đảng ủy BĐBP tỉnh nhiệm kỳ 2015 - 2020 đối với Đại tá Phạm Văn Sáng^ nguyên Phó bí thư Đảng ủy^ nguyên Chỉ huy trưởng BĐBP tỉnh Kiên Giang.Cơ quan kiểm tra cũng cảnh cáo Ban thường vụ Đảng ủy BĐBP tỉnh Kiên Giang nhiệm kỳ 2020 - 2025 và Đại tá Nguyễn Văn Phương^ nguyên Đảng ủy viên^ nguyên Phó chỉ huy trưởng BĐBP tỉnh; Đại tá Phạm Chánh Kính^ nguyên Đảng ủy viên^ nguyên Phó chỉ huy trưởng BĐBP tỉnh Kiên Giang.Ngoài ra^ Ủy ban Kiểm tra Trung ương còn khiển trách Đại tá Huỳnh Văn Đông^ Bí thư Đảng ủy^ Chính ủy BĐBP tỉnh và Đại tá Bùi Minh Trí^ Phó chỉ huy trưởng BĐBP tỉnh Kiên Giang; đề nghị Ban Bí thư xem xét^ thi hành kỷ luật Đại tá Nguyễn Thế Anh^ Tỉnh ủy viên^ Phó Bí thư Đảng ủy^ Chỉ huy trưởng BĐBP tỉnh Kiên Giang.Các quyết định nêu trên được đưa ra sau khi Ủy ban Kiểm tra Trung ương xem xét kết quả kiểm tra khi có dấu hiệu vi phạm đối với Ban thường vụ Đảng ủy BĐBP tỉnh Kiên Giang các nhiệm kỳ 2015 - 2020^ 2020 - 2025 và Đại tá Nguyễn Thế Anh.Theo đó^ Ban thường vụ Đảng ủy BĐBP tỉnh Kiên Giang đã vi phạm nguyên tắc của Đảng và quy chế làm việc; thiếu trách nhiệm^ buông lỏng lãnh đạo^ chỉ đạo^ thiếu kiểm tra^ giám sát^ để Bộ chỉ huy BĐBP tỉnh và nhiều cán bộ^ đảng viên^ trong đó có lãnh đạo chủ chốt và chỉ huy các đơn vị trực thuộc suy thoái về phẩm chất chính trị^ đạo đức^ lối sống^ vi phạm các quy định của Đảng^ pháp luật của Nhà nước và quy định của Quân ủy Trung ương^ Bộ Quốc phòng trong công tác cán bộ; trong quản lý^ sử dụng tài chính^ tài sản^ đất quốc phòng^ đầu tư xây dựng; trong công tác đấu tranh phòng^ chống buôn lậu và gian lận thương mại; phòng^ chống tham nhũng^ tiêu cực.""Những vi phạm nêu trên đã gây hậu quả rất nghiêm trọng^ làm thiệt hại tiền và tài sản của Nhà nước^ ảnh hưởng đến uy tín của tổ chức đảng và lực lượng BĐBP""^ cơ quan kiểm tra nêu rõ"".",Chinhtrixahoi
"Tại kỳ họp thứ 12 (từ ngày 2 đến 4/3)^ Ủy ban Kiểm tra Trung ương đã xem xét kết quả kiểm tra khi có dấu hiệu vi phạm đối với Ban thường vụ Đảng ủy Học viện Quân y các nhiệm kỳ 2015 - 2020^ 2020 - 2025.Theo đó^ cơ quan kiểm tra nhận thấy^ Ban thường vụ Đảng ủy Học viện Quân y đã vi phạm nguyên tắc tập trung dân chủ và quy chế làm việc của cấp ủy; thiếu trách nhiệm^ buông lỏng lãnh đạo^ chỉ đạo^ thiếu kiểm tra^ giám sát^ để một số cán bộ^ lãnh đạo Học viện vi phạm nghiêm trọng các quy định của Đảng^ pháp luật của Nhà nước^ quy định của Quân ủy Trung ương^ Bộ Quốc phòng trong quá trình đề xuất^ tổ chức thực hiện nhiệm vụ khoa học^ công nghệ cấp quốc gia nghiên cứu chế tạo bộ sinh phẩm xét nghiệm Covid-19 và việc mua sắm vật tư^ kít xét nghiệm từ Công ty cổ phần Công nghệ Việt Á.Trung tướng Nguyễn Viết Lượng^ Bí thư Đảng ủy^ Chính ủy; Trung tướng Đỗ Quyết^ Phó bí thư Đảng ủy^ Giám đốc Học viện; Thiếu tướng Hoàng Văn Lương^ Uỷ viên Ban thường vụ Đảng ủy^ Phó giám đốc Học viện kiêm Giám đốc Viện Nghiên cứu Y Dược học Quân sự; Thượng tá Hồ Anh Sơn^ Bí thư chi bộ^ Phó Giám đốc Viện Nghiên cứu Y Dược học Quân sự^ Chủ nhiệm đề tài; Đại tá Nguyễn Văn Hiệu^ Phó bí thư Chi bộ^ Trưởng phòng Trang bị^ Vật tư và lãnh đạo^ cán bộ một số đơn vị thuộc Học viện cùng chịu trách nhiệm về những vi phạm^ khuyết điểm của Ban thường vụ Đảng ủy Học viện Quân y.Các cán bộ này chịu trách nhiệm cá nhân về những vi phạm^ khuyết điểm trong thực hiện chức trách^ nhiệm vụ được giao.Theo Ủy ban Kiểm tra Trung ương^ những vi phạm nêu trên đã gây hậu quả rất nghiêm trọng^ làm thất thoát^ lãng phí lớn ngân sách nhà nước^ ảnh hưởng đến công tác phòng^ chống dịch bệnh Covid-19^ gây bức xúc trong xã hội^ ảnh hưởng đến uy tín của tổ chức đảng và Học viện Quân y; đến mức phải xem xét^ xử lý kỷ luật.Những vi phạm nêu trên cũng có trách nhiệm của Ban cán sự đảng^ một số lãnh đạo và tổ chức^ cá nhân ở Bộ Khoa học và Công nghệ^ Bộ Y tế^ đang được cơ quan kiểm tra tiếp tục làm rõ.Trước đó^ Tổng giám đốc Công ty Cổ phần Công nghệ Việt Á Phan Quốc Việt bị cáo buộc nâng khống giá kit xét nghiệm Covid-19 lên khoảng 45%^ chi ""hoa hồng"" gần 800 tỷ đồng.Hiện^ Bộ Công an đã khởi tố hơn 20 người về nhiều tội danh:Vi phạm quy định về đấu thầu gây hậu quả nghiêm trọng; Lợi dụng chức vụ quyền hạn trong khi thi hành công vụ; Đưa và Nhận hối lộ.Tại cuộc họp báo thông tin kết quả phiên họp thứ 21 của Ban Chỉ đạo Trung ương về phòng^ chống tham nhũng^ tiêu cực ngày 20/1^ Phó trưởng Ban Nội chính Trung ương Trần Quốc Cường khẳng định^ việc điều tra sẽ không dừng lại ở ""cán bộ cấp vụ"" và ""không có vùng cấm"".",Chinhtrixahoi
"Ngày 24/2^ báo cáo kết quả bước đầu triển khai chuyên đề giám sát thực hiện nghị quyết sắp xếp đơn vị hành chính cấp huyện^ xã giai đoạn 2019-2021^ Chủ nhiệm Ủy ban Pháp luật Hoàng Thanh Tùng cho biết^ cả nước đã giảm hơn 3.400 cơ quan ở cấp xã^ gần 430 cơ quan cấp huyện.Ngoài số công chức xã^ huyện^ hơn 8.400 người hoạt động không chuyên trách cấp xã cũng được giảm. Hơn 16.300 thôn^ tổ dân phố cũng được giảm^ tương ứng bớt khoảng 48.900 người hoạt động không chuyên trách ở cơ sở (chỉ tính tại 45 tỉnh sắp xếp đơn vị hành chính).Ông Tùng dẫn báo cáo của Chính phủ^ giai đoạn 2019-2021^ số tiền tiết kiệm chi là hơn 2.000 tỷ đồng. Trong đó^ giảm chi hoạt động của chính quyền cấp huyện^ xã hơn 1.100 tỷ đồng (giảm chi tiền lương và phụ cấp là hơn 780 tỷ đồng; còn lại là giảm chi hoạt động); giảm chi phụ cấp người hoạt động không chuyên trách ở thôn^ tổ dân phố khoảng 870 tỷ đồng.Tuy nhiên^ đại diện cơ quan giám sát cho biết^ quá trình sắp xếp các đơn vị hành chính cấp huyện^ xã cũng đã bộc lộ nhiều vướng mắc. Đơn cử khi mở rộng phạm vi địa bàn quản lý^ khối lượng công việc thủ tục hành chính^ nhu cầu sử dụng dịch vụ công tăng^ trong khi số lượng cán bộ^ công chức phải cắt giảm.Điều này tác động đến chỉ đạo^ điều hành của đơn vị hành chính mới^ đặc biệt là các huyện^ xã miền núi^ nông thôn có diện tích lớn^ địa hình chia cắt^ nhiều đồi núi^ sông suối^ dân cư rải rác^ đi lại khó khăn. Việc khám chữa bệnh của người dân cũng gặp khó khăn do khoảng cách đến trạm y tế xa hơn...Chủ tịch Quốc hội Vương Đình Huệ lưu ý đoàn giám sát tiếp tục nghiên cứu kỹ báo cáo của các bộ^ ngành^ địa phương^ nhất là của Đoàn đại biểu Quốc hội^ HĐND và Mặt trận Tổ quốc các tỉnh^ thành. Trong đó^ cần bổ sung đánh giá về tác động đối với người dân; tham khảo ý kiến của nhân dân đối với việc sắp xếp đơn vị hành chính vừa qua. Việc này giúp cơ quan chức năng thấy quá trình làm ""có chỗ nào chủ quan^ duy ý chí không?"".Ông Huệ đề nghị đoàn giám sát yêu cầu Bộ Nội vụ báo cáo đánh giá cụ thể hơn về hiệu lực^ hiệu quả của bộ máy chính quyền cơ sở sau sắp xếp; yêu cầu các bộ ngành làm rõ hơn chi phí để sắp xếp đơn vị hành chính^ ngân sách nhà nước và ngân sách địa phương bố trí cho các xã^ huyện so với giai đoạn trước tiết kiệm được bao nhiêu? Việc quản lý tài sản công cũng cần xây dựng báo cáo độc lập và chi tiết^ tránh tình trạng lãng phí^ thất thoát. Lộ trình giải quyết cán bộ cấp huyện^ xã sau dôi dư cũng cần làm rõ.Nghị quyết về việc sắp xếp các đơn vị hành chính cấp huyện và cấp xã giai đoạn 2019-2021 được Ủy ban Thường vụ Quốc hội thông qua hồi tháng 3/2019. Đơn vị thuộc diện sắp xếp gồm các huyện^ xã có diện tích tự nhiên và quy mô dân số chưa đạt 50% tiêu chuẩn; khuyến khích việc sắp xếp các đơn vị hành chính còn lại để giảm số lượng.Tiêu chuẩn của huyện miền núi^ vùng cao là dân số 80.000 và diện tích 850 km2 trở lên; huyện đồng bằng từ 450 km2; quận từ 35 km2 với dân số ít nhất 150.000. Còn quy mô dân số của xã là 5.000 đến 8.000 trở lên^ diện tích từ 30 km2.",Chinhtrixahoi
Ngày 23/2^ tại Cần Thơ^ Uỷ ban Kiểm tra Trung ương (UBKT) công bố quyết định thành lập Vụ Địa bàn VIII^ toạ lạc số 41 đường Châu Văn Liêm^ phường Tân An^ quận Ninh Kiều.Vụ Địa bàn VIII có chức năng tham mưu giúp UBKT Trung ương thực hiện các nhiệm vụ do Ban Chấp hành Trung ương^ Bộ Chính trị^ Ban Bí thư giao. Vụ sẽ theo dõi 12 địa phương (trừ Long An) thuộc Đồng bằng sông Cửu Long^ gồm: Cần Thơ^ Đồng Tháp^ An Giang^ Tiền Giang^ Bến Tre^ Vĩnh Long^ Trà Vinh^ Hậu Giang^ Sóc Trăng^ Kiên Giang^ Cà Mau^ Bạc Liêu và Đảng ủy Quân khu 9.Ông Nguyễn Thanh Sơn^ Vụ trưởng Vụ Địa bàn VIII^ cho biết sẽ quyết tâm cùng lãnh đạo và tập thể đơn vị khắc phục khó khăn^ hoàn thành tốt nhiệm vụ.Ông Trần Cẩm Tú^ Ủy viên Bộ Chính trị^ Chủ nhiệm UBKT Trung ương^ yêu cầu Vụ Địa bàn VIII bám sát tình hình địa phương^ đơn vị của mình phụ trách^ tổ chức thực hiện toàn diện các nhiệm vụ kiểm tra^ giám sát theo quy định của điều lệ Đảng.UBKT Trung ương là cơ quan kiểm tra^ giám sát chuyên trách của Ban Chấp hành Trung ương^ thực hiện các nhiệm vụ^ quyền hạn theo quy định Điều lệ Đảng; tham mưu^ giúp Ban Chấp hành Trung ương^ Bộ Chính trị^ Ban Bí thư thực hiện nhiệm vụ kiểm tra^ giám sát và kỷ luật của Đảng. Cơ quan này có 14 vụ^ đơn vị trực thuộc.Cửu Long,Chinhtrixahoi
"Chủ tịch Quốc hội Vương Đình Huệ phát biểu như trên tại hội nghị tổng kết công tác HĐND các tỉnh^ thành phố khu vực phía Bắc năm 2021^ sáng 21/2.Theo ông Huệ^ vừa qua^ Ủy ban Thường vụ Quốc hội huy động sự vào cuộc của HĐND^ đoàn đại biểu Quốc hội các tỉnh^ thành thực hiện bốn chuyên đề giám sát tối cao liên quan đến công tác quy hoạch; thực hành tiết kiệm^ chống lãng phí; tiếp công dân và giải quyết khiếu nại^ tố cáo; sắp xếp các đơn vị hành chính cấp huyện^ cấp xã.Dù phạm vi giám sát rộng^ song Thường vụ Quốc hội quyết định mỗi chuyên đề giám sát không quá 5 địa phương. ""Chúng ta có nguồn thông tin dữ liệu với sự tham gia tích cực ở dưới rồi^ không nhất thiết phải dàn hàng ngang đi các địa phương^ bộ ngành như trước""^ Chủ tịch Quốc hội nhấn mạnh.Bên cạnh kết quả^ Chủ tịch Quốc hội đánh giá hiệu quả của công tác giám sát của HĐND ""nhìn chung còn hạn chế"". Đơn cử^ việc giám sát chuyên đề^ tái giám sát còn ít; hoạt động giải trình tại phiên họp của thường trực HĐND có nơi^ có lúc còn hình thức^ chất lượng thấp...Tại một số địa phương xảy ra tiêu cực trong mua sắm trang thiết bị^ sinh phẩm y tế^ song do cơ quan chức năng phát hiện chứ không phải từ vai trò giám sát của HĐND. Từ thực tế này^ Chủ tịch Quốc hội đề nghị rà soát^ rút kinh nghiệm và ""cơ quan dân cử cần giám sát thường xuyên hơn"".Lãnh đạo Quốc hội cũng yêu cầu hoàn thiện và thực hiện đề án tiếp tục đổi mới^ nâng cao chất lượng kỳ họp HĐND. Phó chủ tịch thường trực HĐND TP Hà Nội^ bà Phùng Thị Hồng Hà kiến nghị Ủy ban Thường vụ Quốc hội chỉ đạo ban hành các quy định về chế tài sau giám sát; quy định về trách nhiệm của người đứng đầu đơn vị được giám sát...Bà Lâm Thị Hương Thành^ Phó chủ tịch thường trực HĐND tỉnh Bắc Giang^ cho rằng hoạt động giải trình - một hình thức của giám sát^ cần được thực hiện thường xuyên vì giúp giải quyết được nhiều vấn đề nổi cộm^ bức xúc ở địa phương. Đơn cử như khi đợt dịch Covid- 19 lần thứ tư bùng phát tại Bắc Giang^ vấn đề nhà trọ^ công nhân trở nên bức xúc^ mỗi cơ quam báo cáo một số liệu khác nhau^ gây khó khăn trong quá trình khoanh vùng^ dập dịch. Sau khi thường trực HĐND tỉnh tổ chức giải trình và đưa ra kết luận^ công tác quản lý nhà nước đối với hoạt động này có sự chuyển biến rất rõ nét.""Công an tỉnh Bắc Giang đã triển khai phần mềm quản lý nhà trọ^ cấp tài khoản trên phần mềm cho các chủ nhà trọ để quản lý thông tin cần thiết""^ bà Thành nói.",Chinhtrixahoi
Theo quyết định về tiêu chuẩn^ định mức nhà ở công vụ được Thủ tướng ban hành ngày 18/2^ trang bị nội thất trong biệt thự công vụ cho Ủy viên Bộ Chính trị^ Bí thư Trung ương Đảng thuê gồm: Phòng khách có một bộ bàn ghế và một kệ tivi; phòng bếp có một bộ bàn ghế ăn^ một tủ lạnh; phòng ngủ có một tủ quần áo^ một giường^ một đệm; một bộ bàn ghế làm việc; một máy giặt. Định mức kinh phí tối đa trang bị nội thất cho biệt thự công vụ là 350 triệu đồng.Các chức danh Tổng bí thư^ Chủ tịch nước^ Thủ tướng^ Chủ tịch Quốc hội được bố trí nhà công vụ đảm bảo điều kiện công tác và yêu cầu về an ninh.So với quy định năm 2015^ các quy định về cho thuê biệt thự công vụ với chức danh Ủy viên Bộ Chính trị^ Bí thư Trung ương Đảng không có nhiều thay đổi. Tuy nhiên^ kinh phí trang bị nội thất được tăng lên. Trước đây^ biệt thự được trang bị nội thất cao nhất 250 triệu đồng.Chủ tịch Ủy ban Trung ương Mặt trận Tổ quốc Việt Nam^ Phó chủ tịch nước^ Phó chủ tịch Quốc hội^ Phó thủ tướng và cấp tương đương trở lên được thuê biệt thự công vụ rộng 350-400 m2. Kinh phí tối đa trang bị nội thất cho biệt thự này là 300 triệu đồng.Ủy viên Trung ương Đảng^ Trưởng ban Đảng ở trung ương^ Chủ nhiệm các Ủy ban của Quốc hội^ bộ trưởng^ trưởng đoàn thể trung ương^ thủ trưởng các cơ quan trực thuộc Chính phủ được thuê nhà liền kề rộng 200-250 m2 hoặc căn hộ chung cư 145-160 m2. Kinh phí trang bị nội thất cho nhà liền kề hoặc căn hộ chung cư là 250 triệu đồng.Phó trưởng Ban Đảng trung ương^ phó chủ tịch Ủy ban Trung ương Mặt trận Tổ quốc Việt Nam^ phó chủ nhiệm các Ủy ban của Quốc hội^ thứ trưởng^ nhà khoa học được giao chủ trì nhiệm vụ khoa học và công nghệ cấp quốc gia đặc biệt quan trọng^ được cho thuê căn hộ chung cư rộng 100-145 m2; trang bị nội thất 200 triệu đồng.Ở địa phương^ Bí thư Tỉnh ủy được thuê nhà liền kề diện tích 200-250 m2 hoặc căn hộ chung cư 145-160 m2; kinh phí trang bị nội thất 250 triệu đồng.Phó bí thư tỉnh ủy^ Chủ tịch UBND cấp tỉnh^ được thuê nhà liền kề 120-150 m2; căn hộ chung cư 100-145 m2; kinh phí trang bị nội thất 200 triệu đồng.Chủ tịch UBND cấp huyện^ giám đốc sở^ chuyên viên cao cấp^ nhà khoa học được giao chủ trì nhiệm vụ khoa học và công nghệ cấp quốc gia đặc biệt quan trọng^ viên chức (giáo viên^ bác sĩ và nhân viên y tế) thuộc các đơn vị sự nghiệp là lãnh đạo^ quản lý tương đương giám đốc sở được thuê căn hộ chung cư rộng 80-100 m2; trang bị nội thất 150 triệu đồng.Cán bộ^ công chức^ viên chức (giáo viên^ bác sĩ và nhân viên y tế) là lãnh đạo^ quản lý được điều động đến công tác tại xã vùng xa^ vùng có điều kiện kinh tế - xã hội đặc biệt khó khăn^ khu vực biên giới^ hải đảo được thuê gian nhà rộng 36-48 m2 (không gồm công trình phụ); trang bị nội thất 80 triệu đồng.Cán bộ^ công chức^ viên chức (giáo viên^ bác sĩ và nhân viên y tế) làm chuyên môn^ đến công tác tại xã vùng xa^ vùng có điều kiện kinh tế - xã hội đặc biệt khó khăn^ khu vực biên giới^ hải đảo được bố trí cho thuê gian nhà tập thể rộng 24-36 m2 (tối thiểu 12 m2/người); trang bị nội thất 60 triệu đồng.,Chinhtrixahoi
"Lễ khởi động dự án được Bộ Nội vụ phối hợp với Cơ quan hợp tác quốc tế Nhật Bản (JICA) tổ chức ngày 18/2. Phía Nhật Bản sẽ giúp Việt Nam đánh giá tình trạng^ thách thức trong thi tuyển công chức hiện nay^ xác định phương hướng cải thiện phương pháp thi vòng 1^ từ đó đưa ra lời khuyên để hoàn thiện các văn bản liên quan tới thi tuyển.Nhật cũng sẽ chia sẻ kinh nghiệm^ phương pháp xây dựng câu hỏi và giới thiệu một số câu liên quan tới khả năng tư duy; chia sẻ kinh nghiệm tổ chức thi phỏng vấn; đưa ra các đề xuất cần thiết với các văn bản liên quan đến vòng thi này.Thứ trưởng Nội vụ Trương Hải Long cho biết^ Đảng và Nhà nước Việt Nam đã xác định^ để phát triển nhanh và bền vững đất nước trong giai đoạn 2021-2026 và những năm tiếp theo^ cần tập trung ba đột phá chiến lược. Trong đó^ có đột phá về phát triển nguồn nhân lực^ nhất là nguồn nhân lực chất lượng cao^ ưu tiên phát triển nguồn nhân lực cho công tác lãnh đạo^ quản lý.Chương trình tổng thể cải cách nền hành chính nhà nước giai đoạn 2021-2030 cũng xác định mục tiêu tổng thể của cải cách chế độ công vụ^ công chức giai đoạn này là xây dựng nền công vụ chuyên nghiệp^ trách nhiệm^ năng động và thực tài; thực hiện cơ chế cạnh tranh lành mạnh^ dân chủ^ công khai^ minh bạch trong bổ nhiệm^ đề bạt cán bộ và tuyển dụng công chức^ viên chức để thu hút người thực sự có đức^ có tài vào làm việc trong cơ quan hành chính nhà nước.Chính phủ Việt Nam đã chỉ đạo Bộ Nội vụ nghiên cứu^ điều chỉnh^ bổ sung hình thức thi phỏng vấn^ lựa chọn nội dung và cách thức thi để có thể tuyển chọn được công chức^ viên chức có kiến thức chuyên môn và kỹ năng thực thi công vụ. Bộ Nội vụ tham khảo kinh nghiệm các quốc gia thành công^ trong đó Nhật Bản đã áp dụng kỳ thi tuyển quốc gia từ năm 1948 và đến nay vẫn hiệu quả.""Triển khai dự án sẽ là cơ hội để Việt Nam được tiếp cận kinh nghiệm thành công^ thông tin bổ ích của Nhật Bản trong việc tổ chức thi tuyển công chức quốc gia^ qua đó từng bước hoàn thiện công tác tuyển dụng công chức ở Việt Nam""^ ông Long nói.",Chinhtrixahoi
